search_category,name,lat,lng,types,user_ratings_total,rating,place_id,vicinity,business_status,icon,opening_hours_open_now,price_level,plus_code_compound,plus_code_global,first_photo_reference,reference,scope,description
Night Club,Nochentera Club,40.4519515,-3.6806664,"night_club, point_of_interest, establishment",,,ChIJo2Kln28pQg0ROgJt5-3QUqE,"Avenida de Concha Espina, 55, Madrid",CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,,,"F829+QP Madrid, Spain",8CGRF829+QP,,ChIJo2Kln28pQg0ROgJt5-3QUqE,GOOGLE,
Night Club,Wall Street Disco & Events,40.4519515,-3.6806664,"night_club, point_of_interest, establishment",43.0,3.4,ChIJDcukg9gpQg0RU9hdtYmXIV0,"Avenida de Concha Espina, 55, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"F829+QP Madrid, Spain",8CGRF829+QP,AVzFdbmBokFRBbRBSI1u7UTZi_2DCqhN_negiRdHTLFwVAAR3X_07fsoz3TkRtL_dOkj-VctgsQTXGLd4yvyWhAsQ5DaJSt-NXAuVlOcsDIvJEQHXE0k5nyHxKSEN2RgzWBJn3VR2esWMkgFwFFSR6KRxxiva-ZlSoGSDqUoDky6uMjRtL96LjW8bwcT,ChIJDcukg9gpQg0RU9hdtYmXIV0,GOOGLE,
Night Club,Fusión VIP,40.4451414,-3.6713758,"night_club, point_of_interest, establishment",570.0,4.0,ChIJnT2cF9AoQg0Ra5IAseoFFbQ,"Calle del Cardenal Silíceo, 10, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"C8WH+3C Madrid, Spain",8CGRC8WH+3C,AVzFdbm07RWCaDqjJxZYJBhXNSx65MplwGdPmTdpTpjGoYqOECoRzLQR224hwo8lzCweuzQSFlTp__98SeSHUFmt-UXU_TuENqGNjWJJ-eUpgAYIgdg8TS9Wfo3l-vUF4c61_CdkOhyFx9wpLr8nJQrEJNWQjOvfkmgClzk3ujKWA4shaCPXQY_fuhqx,ChIJnT2cF9AoQg0Ra5IAseoFFbQ,GOOGLE,
Night Club,Discoteca Elefante Blanco Madrid,40.4451673,-3.669874399999999,"night_club, bar, point_of_interest, establishment",527.0,4.1,ChIJZbKHL8YpQg0RVvBtTAJnke4,"Calle de Santa Hortensia, 14, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,2.0,"C8WJ+33 Madrid, Spain",8CGRC8WJ+33,AVzFdbk5jTuCOpkx4YOaRCQ6ehYiscV49KxbRlwVUISMs4XfHjkcyZjHOx4pgthFiKEUMDVclzlnuQ0ahLRX4sH0fS5Ch-v14IgYOEBG1aIMY_FbljKiQohfYqU0djbG2QzMN-a4DNVMgJX-RtpkPyc8cSZDkXw0d6KCzOyQDxYSU7Ze9P0SVTVezFML,ChIJZbKHL8YpQg0RVvBtTAJnke4,GOOGLE,
Night Club,DISCOPUB JC,40.45931439999999,-3.674920799999999,"night_club, point_of_interest, establishment",3.0,5.0,ChIJ5RWNlLkpQg0RVbyYyDoDJFw,"Calle de Guatemala, 4, 1ºG, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"F85G+P2 Madrid, Spain",8CGRF85G+P2,AVzFdblnK-WL4rlf5zzIlH_gVehz8yUVhn-3YjzeeWtZUJqk4Vrz-jsYAvidhvo6ZtG2wwzv4cPUHtU6NH8jhn9NiXzwws07-u8zIXqtrpix4mxJU2gZuPdrMsIXN_xLTaJssOEXNA7P2l7cHIPkPUWOlX1f7ki8yWgc-pr7xM3xinVaNlQcCAjvUZr-,ChIJ5RWNlLkpQg0RVbyYyDoDJFw,GOOGLE,
Night Club,Suka & Raul's CUEVA,40.4435839,-3.6704468,"night_club, point_of_interest, establishment",11.0,5.0,ChIJ4ac9dAApQg0RT4Za0jSNZVo,"Calle de Mauro, 6, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,True,,"C8VH+CR Madrid, Spain",8CGRC8VH+CR,,ChIJ4ac9dAApQg0RT4Za0jSNZVo,GOOGLE,
Night Club,la clave del clan,40.443619,-3.670068299999999,"night_club, point_of_interest, establishment",12.0,4.3,ChIJpRvxzM8oQg0RxDg1ecMpVz0,"Calle del Cardenal Silíceo, 29, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,,,"C8VH+CX Madrid, Spain",8CGRC8VH+CX,,ChIJpRvxzM8oQg0RxDg1ecMpVz0,GOOGLE,
Night Club,Forty-Six,40.4582553,-3.680143500000001,"bar, night_club, point_of_interest, establishment",286.0,3.9,ChIJcZn-niEpQg0RR-wVK3dGOAI,"Avenida de Alberto de Alcocer, 46, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,1.0,"F859+8W Madrid, Spain",8CGRF859+8W,AVzFdbm3z5sOdoYIEcNQCPPxIx2akBXht7XyPf42BzxFz1-uj7OcwqkjO8XgaOM3-YppRkKOk977QYVW7rb3oBiWeQ1mDZhImwCb5gIcIJ56tH_WgncPF9eylREGxm5JYvZqV8gT7JVyuRTG6Etk-L6FwPc2m0yTdlsNyJhjvvDDPWg1EWKA4pXu1gM,ChIJcZn-niEpQg0RR-wVK3dGOAI,GOOGLE,
Night Club,vudu club madrid,40.45888219999999,-3.6801875,"night_club, point_of_interest, establishment",10.0,2.4,ChIJReqYN8spQg0RopXAq7Vkia4,"Avenida de Alberto de Alcocer, 43, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"F859+HW Madrid, Spain",8CGRF859+HW,,ChIJReqYN8spQg0RopXAq7Vkia4,GOOGLE,
Night Club,AsereQuebola,40.44227579999999,-3.6724758,"night_club, point_of_interest, establishment",,,ChIJLQnGXwApQg0Rvn3W5PTn7Ts,"Calle de la Constancia, 26, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,,,"C8RH+W2 Madrid, Spain",8CGRC8RH+W2,,ChIJLQnGXwApQg0Rvn3W5PTn7Ts,GOOGLE,
Night Club,Nebula Club,40.4422078,-3.6757083,"night_club, point_of_interest, establishment",10.0,4.4,ChIJTy4vWKspQg0Ro94MGScKEgY,"Calle de Cartagena, 129, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"C8RF+VP Madrid, Spain",8CGRC8RF+VP,AVzFdbmucuaTqfrJklDcLr2wNoNac_FGQvuVSgWSKvaKP6NjM8mk17UnYj9e1MzaCAH-xF84swlnw3WA0jxug1nmHpes5S_3JBY4tawnXVToBU6HSwdojGJaK5wL3U1bXlwfjgG166J-I48mkIPlyEhEw6uHRVMfoOMBcfP_EO35kx4IJ6u4Rtz9nB8K,ChIJTy4vWKspQg0Ro94MGScKEgY,GOOGLE,
Night Club,Discoteca Tiffany's Light,40.4462198,-3.683667,"night_club, point_of_interest, establishment",4.0,3.0,ChIJiaZ8LukpQg0RHPDoE_Su4zw,"Avenida del Doctor Arce, 11, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"C8W8+FG Madrid, Spain",8CGRC8W8+FG,,ChIJiaZ8LukpQg0RHPDoE_Su4zw,GOOGLE,
Night Club,Skynight,40.4406649,-3.670038000000001,"night_club, point_of_interest, establishment",219.0,3.9,ChIJw3SuJs8oQg0R71q81alVt8s,"Avenida de América, 41, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"C8RH+7X Madrid, Spain",8CGRC8RH+7X,AVzFdbn64R8vBpNXv7FAtW7W_ooc4yBm2ZkF3IZASjbjpKMGGShigE1utFmDEzf_2n5pn_mTyXS6huCaI-wcUvXxPHhDGMWvyENFL0GvkQZjzGXdbISjxWXTV2ZELHsZoh47OPztq08nZHAOxchAFn0YpgiqE8EolbLheHiVlrI-pWQw1FfJNIehIhF2,ChIJw3SuJs8oQg0R71q81alVt8s,GOOGLE,
